year,month,annual_mean_temp,monthly_mean_temp
2000,Feb,49.3,30.9
2000,Sep,49.3,61.8
2000,Oct,49.3,51.8
2000,Dec,49.3,26.6
2001,Jan,47.7,26.3
2001,Nov,47.7,46.6
2002,Feb,49.3,33.8
2002,Oct,49.3,49.8
2002,Nov,49.3,39.7
2002,Dec,49.3,29.2
2003,Jan,52.1,21.6
2003,Sep,52.1,64.1
2003,Nov,52.1,42.1
2004,Sep,51.3,63.1
2004,Oct,51.3,50.3
2004,Dec,51.3,31.9
2005,Jan,44.7,26.3
2005,Sep,44.7,66.2
2005,Oct,44.7,52.9
2005,Nov,44.7,44.8
2006,Jan,49.4,36.6
2006,Feb,49.4,30.7
2006,Sep,49.4,62.5
2006,Oct,49.4,52.2
2006,Nov,49.4,48.1
2006,Dec,49.4,39.9
2007,Feb,55.0,24.2
2007,Oct,55.0,57.3
2007,Nov,55.0,42.6
2008,Jan,53.6,30.9
2008,Sep,53.6,62.9
2008,Oct,53.6,50.7
2008,Nov,53.6,41.1
2008,Dec,53.6,34.8
2009,Jan,46.7,21.9
2009,Feb,46.7,30.2
2009,Sep,46.7,60.8
2009,Oct,46.7,48.8
2009,Nov,46.7,46.8
2009,Dec,46.7,31.9
2010,Jan,51.5,27.3
2010,Feb,51.5,30.5
2010,Sep,51.5,65.9
2010,Oct,51.5,52.9
2010,Nov,51.5,42.4
2010,Dec,51.5,29.2
2011,Feb,53.2,26.6
2011,Sep,53.2,65.6
2011,Oct,53.2,53.8
2011,Nov,53.2,46.9
2011,Dec,53.2,37.7
2012,Jan,52.2,31.3
2012,Feb,52.2,34.9
2012,Sep,52.2,62.5
2012,Oct,52.2,53.4
2012,Nov,52.2,41.3
2012,Dec,52.2,36.3
2013,Jan,50.0,29
2013,Feb,50.0,29.4
2013,Sep,50.0,62.1
2013,Oct,50.0,54.5
2013,Nov,50.0,40.1
2013,Dec,50.0,31.8
2014,Jan,49.0,24.8
2014,Feb,49.0,26.2
2014,Sep,49.0,64
2014,Oct,49.0,54.5
2014,Nov,49.0,40.5
2014,Dec,49.0,36.9
2015,Jan,49.5,23.5
2015,Feb,49.5,14.9
2015,Sep,49.5,66.8
2015,Oct,49.5,51.6
2015,Nov,49.5,46.3
2015,Dec,49.5,43
2016,Jan,51.5,29.5
2016,Feb,51.5,32.4
2016,Sep,51.5,65.3
2016,Oct,51.5,53.4
2016,Nov,51.5,43.9
2016,Dec,51.5,32.6
2017,Jan,50.5,32.4
2017,Feb,50.5,34.2
2017,Sep,50.5,65.6
2017,Oct,50.5,58.7
2017,Nov,50.5,41.4
2017,Dec,50.5,28
2018,Jan,50.1,25
2018,Feb,50.1,34.9
2018,Sep,50.1,65.1
2018,Oct,50.1,50.8
2018,Nov,50.1,38.8
2018,Dec,50.1,33.3
2019,Jan,49.3,27.6
2019,Feb,49.3,29.4
2019,Sep,49.3,62.8
2019,Oct,49.3,52.5
2019,Nov,49.3,38.5
2019,Dec,49.3,32.5
